index,genres,homepage,id,keywords,original_language,popularity,release_year,title,cast,director
3881,Drama Romance Comedy,http://focusfeatures.com/beginners,55347,gay loss of mother secret coming out loss of father,en,11.933449,2010,Beginners,Ewan McGregor Christopher Plummer M\u00e9lanie Laurent Goran Visnjic Kai Lennox,Mike Mills
3882,Action Comedy Horror,http://www.feast-movie.com/,10070,monster pub duringcreditsstinger,en,8.825113,2005,Feast,Balthazar Getty Henry Rollins Navi Rawat Judah Friedlander Jason Mewes,John Gulager
3883,Comedy,http://www.animalhouse.com/,8469,sex nudity college fraternity gross out comedy,en,17.332585,1978,Animal House,John Belushi Tim Matheson John Vernon Verna Bloom Tom Hulce,John Landis
3884,Adventure Action Thriller,http://www.mgm.com/view/movie/760/Goldfinger/,658,secret organization secret intelligence service nuclear radiation fort knox aston martin,en,47.812466,1964,Goldfinger,Sean Connery Honor Blackman Gert Fr\u00f6be Shirley Eaton Tania Mallet,Guy Hamilton
3885,Science Fiction Horror,http://www.lucasclinic.com/,125490,injection celebrity satire near future metamorphosis,en,11.753553,2012,Antiviral,Caleb Landry Jones Sarah Gadon Malcolm McDowell Joe Pingue Sheila McCarthy,Brandon Cronenberg
3886,Drama Family Fantasy,,1585,holiday angel based on novel bank suicide attempt,en,42.868495,1946,It's a Wonderful Life,James Stewart Donna Reed Lionel Barrymore Thomas Mitchell Henry Travers,Frank Capra
3887,Drama Crime,http://www.miramax.com/movie/trainspotting/,627,london england alcohol sex based on novel drug addiction,en,63.513324,1996,Trainspotting,Ewan McGregor Ewen Bremner Jonny Lee Miller Robert Carlyle Kelly Macdonald,Danny Boyle
3888,Comedy,,23618,,en,1.918959,2000,The Original Kings of Comedy,Steve Harvey D. L. Hughley Cedric the Entertainer Bernie Mac,Spike Lee
3889,Horror Thriller,http://www.paranormalmovie.com/trailer/,41436,ouija board haunting demonic possession found footage duringcreditsstinger,en,22.789649,2010,Paranormal Activity 2,Katie Featherston David Bierend Brian Boland Molly Ephraim Seth Ginsberg,Tod Williams
3890,Comedy Romance,,10162,false identity beguilement lottery village jackpot,en,5.735912,1998,Waking Ned,Ian Bannen David Kelly Fionnula Flanagan Susan Lynch Brendan Dempsey,Kirk Jones
3891,Documentary,http://www.bowlingforcolumbine.com/index.php,1430,usa canada gun homicide to shoot dead,en,11.414843,2002,Bowling for Columbine,Michael Moore George H. W. Bush George W. Bush Dick Clark Charlton Heston,Michael Moore
3892,Drama,,259943,arranged marriage labor camp,zh,6.017273,2014,Coming Home,Gong Li Chen Dao-Ming Guo Tao Zhang Jia-Yi Yan Ni,Zhang Yimou
3893,Horror,,10014,gay dancing fire diary nightmare,en,21.607228,1985,A Nightmare on Elm Street Part 2: Freddy's Revenge,Robert Englund Mark Patton Kim Myers Robert Rusler Clu Gulager,Jack Sholder
3894,Drama Romance,,11257,kiss bed and breakfast place florence,en,7.961559,1985,A Room with a View,Maggie Smith Helena Bonham Carter Denholm Elliott Julian Sands Simon Callow,James Ivory
3895,Science Fiction Horror Thriller,,158015,dystopia barricade home invasion constitutional convention legalized murder,en,54.403033,2013,The Purge,Lena Headey Ethan Hawke Max Burkholder Adelaide Kane Rhys Wakefield,James DeMonaco
3896,Horror Thriller Mystery,,82507,drowning pennsylvania child murderer car set on fire murder,en,41.045084,2012,Sinister,Ethan Hawke Juliet Rylance Vincent D'Onofrio James Ransone Fred Dalton Thompson,Scott Derrickson
3897,Comedy,,20337,daily life scandal growing up divorce,en,0.295226,2002,Martin Lawrence Live: Runteldat,Martin Lawrence,Martin Lawrence
3898,Drama Romance,,261,individual suicide southern usa adultery mississippi,en,16.553594,1958,Cat on a Hot Tin Roof,Elizabeth Taylor Paul Newman Burl Ives Judith Anderson Jack Carson,Richard Brooks
3899,Adventure Science Fiction Mystery,,1685,mutant dystopia survivor astronaut ape,en,24.393296,1970,Beneath the Planet of the Apes,James Franciscus Kim Hunter Maurice Evans Linda Harrison Charlton Heston,Ted Post
3900,Comedy Family Drama,,20737,clown golden retriever dog actor,en,11.241802,1997,Air Bud,Kevin Zegers Wendy Makkena Michael Jeter Bill Cobbs Brendan Fletcher,Charles Martin Smith
3901,Adventure Fantasy Animation Action Family,http://movies.warnerbros.com/pk3/,10991,mountains mountain village friendship based on tv series young boy,ja,9.18885,2000,Pokémon: Spell of the Unknown,Veronica Taylor Rachael Lillis Eric Stuart,Michael Haigney
3902,Horror Mystery Thriller,,10225,lightning cemetery mask slasher jason vorhees,en,11.158167,1986,Friday the 13th Part VI: Jason Lives,Thom Mathews Jennifer Cooke David Kagen Ren\u00e9e Jones Tom Fridley,Tom McLoughlin
3903,Drama History War,,826,japan resistance japanese river prisoners of war,en,23.109959,1957,The Bridge on the River Kwai,William Holden Alec Guinness Jack Hawkins Sessue Hayakawa James Donald,David Lean
3904,Comedy Family Science Fiction,,34086,alien martian misunderstanding greedy developer,en,1.586598,1990,Spaced Invaders,Ariana Richards Douglas Barr Royal Dano William Holmes,Patrick Read Johnson
3905,Comedy Crime Thriller,,5854,fortune teller kidnapping false identity heir spiritualist,en,3.832858,1976,Family Plot,Barbara Harris Bruce Dern Karen Black William Devane Ed Lauter,Alfred Hitchcock
3906,Comedy Drama Romance,,284,new york new year's eve lovesickness age difference suicide attempt,en,22.889294,1960,The Apartment,Jack Lemmon Shirley MacLaine Fred MacMurray Ray Walston Jack Kruschen,Billy Wilder
3907,Fantasy Horror Thriller,,10285,male nudity female nudity waitress camping nudity,en,10.341982,1993,Jason Goes to Hell: The Final Friday,Kane Hodder John D. LeMay Kari Keegan Steven Williams Steven Culp,Adam Marcus
3908,Mystery Thriller,,5780,cold war east germany,en,7.924982,1966,Torn Curtain,Paul Newman Julie Andrews Lila Kedrova Hansj\u00f6rg Felmy Tamara Toumanova,Alfred Hitchcock
3909,Comedy Documentary Music,http://www.chappellesblockparty.com/home.html,292,black people hip-hop block party megaphone classroom,en,1.697846,2005,Dave Chappelle's Block Party,Dave Chappelle Erykah Badu Common Yasiin Bey Bilal,Michel Gondry
3910,Romance Thriller Western,,223485,fire bounty hunter shotgun horseback riding horse,en,14.936661,2015,Slow West,Michael Fassbender Kodi Smit-McPhee Ben Mendelsohn Caren Pistorius Rory McCann,John Maclean
3911,Drama Music Romance,,29463,,en,0.720091,1985,Krush Groove,Blair Underwood Joseph Simmons Darryl McDaniels Sheila E. Kurtis Blow,Michael Schultz
3912,Action Comedy Crime,http://nextdayair-movie.com/,18065,duringcreditsstinger,en,2.747402,2009,Next Day Air,Donald Faison Mike Epps Wood Harris Omari Hardwick Yasiin Bey,Benny Boom
3913,Drama,,22013,evangelist revivalism,en,6.734965,1960,Elmer Gantry,Burt Lancaster Jean Simmons Arthur Kennedy Dean Jagger Shirley Jones,Richard Brooks
3914,Drama History,,821,judge concentration camp world war ii nazis court case,en,13.338539,1961,Judgment at Nuremberg,Spencer Tracy Burt Lancaster Richard Widmark Marlene Dietrich Maximilian Schell,Stanley Kramer
3915,Comedy Romance,,53862,high school prom,en,0.185373,1999,Trippin',Deon Richmond Donald Faison Guy Torry Maia Campbell Aloma Wright,David Raynr
3916,Western,,3089,texas dangerous kansas cattle drive revenge,en,5.344815,1948,Red River,John Wayne Montgomery Clift Joanne Dru Walter Brennan Coleen Gray,Howard Hawks
3917,Comedy Romance,,30139,woman director,en,0.982624,2006,Phat Girlz,Mo'Nique Jimmy Jean-Louis Godfrey Joyful Drake Brendan Walsh,Nnegest Likk\u00e9
3918,Romance Drama,,132344,hotel airport hotel room greece dream,en,23.299907,2013,Before Midnight,Ethan Hawke Julie Delpy Seamus Davey-Fitzpatrick Jennifer Prior Charlotte Prior,Richard Linklater
3919,Comedy Fantasy Family,,15582,werewolf teenager,en,4.103764,1987,Teen Wolf Too,Jason Bateman Kim Darby John Astin Mark Holton Estee Chandler,Christopher Leitch
3920,Action Horror Science Fiction Thriller,http://phantasm.com,15158,portal undertaker evil tall man sentinals,en,5.003615,1988,Phantasm II,James Le Gros Reggie Bannister Angus Scrimm Paula Irvine Samantha Phillips,Don Coscarelli
3921,Drama,,44634,independent film,en,0.019984,2004,Woman Thou Art Loosed,Kimberly Elise Loretta Devine Debbi Morgan Michael Boatman Louisa Abernathy,Michael Schultz
3922,Comedy Drama,,30309,independent film woman director,en,1.026243,2002,Real Women Have Curves,America Ferrera Lupe Ontiveros Ingrid Oliu George Lopez Brian Sites,Patricia Cardoso
3923,Drama Foreign Romance,,7509,site of pilgrimage widow varanasi hinduism child bride,en,2.787375,2005,Water,Lisa Ray Sarala John Abraham Seema Biswas Waheeda Rehman,Deepa Mehta
3924,Comedy,,10557,islam hippie father son relationship muslim jealousy,en,3.667372,1999,East Is East,Om Puri Linda Bassett Ian Aspinall Jimi Mistry Archie Panjabi,Damien O'Donnell
3925,Comedy Romance,,23531,independent film diner dating masturbation,en,2.144354,2000,Whipped,Amanda Peet Brian Van Holt Jonathan Abrahams Zorie Barber Judah Domke,Peter M. Cohen
3926,Drama History Romance,,28005,poetry eroticism woman director,en,3.937939,1996,Kama Sutra - A Tale of Love,Indira Varma Sarita Choudhury Ramon Tikaram Naveen Andrews,Mira Nair
3927,Comedy Drama,http://www.sonyclassics.com/pleasegive/,40247,suicide new york infidelity cancer independent film,en,5.325156,2010,Please Give,Rebecca Hall Catherine Keener Amanda Peet Oliver Platt Sarah Steele,Nicole Holofcener
3928,Family Fantasy,,252,chocolate factory worker based on novel candy tv addicted person,en,23.981601,1971,Willy Wonka & the Chocolate Factory,Gene Wilder Jack Albertson Peter Ostrum Roy Kinnear Denise Nickerson,Mel Stuart
3929,Fantasy Horror Science Fiction,,24126,armageddon warlock,en,3.107149,1993,Warlock: The Armageddon,Julian Sands Chris Young Paula Marshall Joanna Pacula Steve Kahan,Anthony Hickox
3930,Comedy Crime,,13982,mexico vacation murder head,en,5.016607,1997,8 Heads in a Duffel Bag,Joe Pesci Kristy Swanson George Hamilton Dyan Cannon Andy Comeau,Tom Schulman
3931,Drama Romance,,16642,love triangle chicago wife husband relationship texas field,en,13.857194,1978,Days of Heaven,Richard Gere Brooke Adams Linda Manz Sam Shepard Robert J. Wilke,Terrence Malick
3932,Drama,,17734,independent film woman director,en,6.997495,2001,Thirteen Conversations About One Thing,John Turturro Clea DuVall Matthew McConaughey Amy Irving Alan Arkin,Jill Sprecher
3933,Comedy,,18892,confession jealousy nightmare ambition groupie,en,4.337685,1999,Jawbreaker,Rose McGowan Julie Benz Rebecca Gayheart Carol Kane Pam Grier,Darren Stein
3934,Drama History,,549,new york sex drug abuse homeless person new love,en,3.636634,1996,Basquiat,Jeffrey Wright David Bowie Dennis Hopper Gary Oldman Benicio del Toro,Julian Schnabel
3935,Comedy Drama,,121986,friendship loneliness black and white responsibility late coming of age,en,15.492257,2013,Frances Ha,Greta Gerwig Mickey Sumner Adam Driver Michael Zegen Michael Esper,Noah Baumbach
3936,Crime Drama,http://www.tsotsimovie.com/,868,slum baby fight nudity leader,af,2.504169,2005,Tsotsi,Presley Chweneyagae Jerry Mofokeng Terry Pheto Kenneth Nkosi Zenzo Ngqobe,Gavin Hood
3937,Comedy Drama,,10683,rape sister sister relationship lover (female) pedophilia sister,en,10.757539,1998,Happiness,Jane Adams Jon Lovitz Philip Seymour Hoffman Dylan Baker Evan Silverberg,Todd Solondz
3938,Comedy Documentary,,17995,,en,1.580027,2003,DysFunktional Family,Eddie Griffin Joe Howard Matthew Brent Robert Noble,George Gallo
3939,Comedy Horror,,246403,canada obsession walrus deception search,en,15.754614,2014,Tusk,Michael Parks Justin Long Haley Joel Osment G\u00e9nesis Rodr\u00edguez Ralph Garman,Kevin Smith
3940,Drama Thriller Mystery Action,,670,sushi restaurant rage and hate notebook daughter hostility,ko,56.76349,2003,Oldboy,Choi Min-sik Yoo Ji-tae Kang Hye-jung Kim Byeong-ok Oh Dal-su,Park Chan-wook
3941,Action Drama Family Thriller,http://www.letterstogodthemovie.com,35691,letter hope postman god cancer,en,3.644872,2010,Letters to God,Robyn Lively Jeffrey Johnson Bailee Madison Maree Cheatham Tanner Maguire,David Nixon
3942,Action Comedy Thriller,http://www.hobowithashotgun.com/,49010,female nudity prostitute shotgun pimp underwear,en,16.900433,2011,Hobo with a Shotgun,Rutger Hauer Gregory Smith Robb Wells Brian Downey Molly Dunsworth,Jason Eisener
3943,Action Comedy,http://genvideoshd.com/watch-compadres-2016-full-movie-online-genvideos/,317930,,es,1.569246,2016,Compadres,Omar Chaparro Joey Morgan Aislinn Derbez Eric Roberts Camila Sodi,Enrique Begn\u00e9
3944,Comedy Drama Thriller,,11229,prison attempt to escape step father independent film hitchhiker,en,4.682881,1996,Freeway,Kiefer Sutherland Reese Witherspoon Wolfgang Bodison Dan Hedaya Amanda Plummer,Matthew Bright
3945,TV Movie Action Drama Family,,22488,,en,1.128559,2006,Love's Abiding Joy,Erin Cottrell Logan Bartholomew William Morgan Sheppard James Tupper Irene Bedard,Michael Landon Jr.
3946,Drama,,24469,dancing mother alcohol sex adultery,en,12.68672,2009,Fish Tank,Katie Jarvis Michael Fassbender Kierston Wareing Rebecca Griffiths Harry Treadaway,Andrea Arnold
3947,Comedy Romance,http://www.sonyclassics.com/damselsindistress/,82533,college female friendship young adult,en,3.750338,2012,Damsels in Distress,Greta Gerwig Carrie MacLemore Megalyn Echikunwoke Analeigh Tipton Ryan Metcalf,Whit Stillman
3948,Horror Science Fiction Thriller,,50942,,en,2.857848,1998,Creature,Craig T. Nelson Kim Cattrall Colm Feore Cress Williams Michael Reilly Burke,Stuart Gillard
3949,Comedy Romance,https://www.facebook.com/bachelorettemovie/,84174,bridesmaid strip club female friendship reunion drug use,en,20.95282,2012,Bachelorette,Kirsten Dunst Isla Fisher Lizzy Caplan Rebel Wilson Adam Scott,Leslye Headland
3950,Drama Music Family,,34099,tv movie,en,0.18094,2004,Brave New Girl,Virginia Madsen Lindsey Haun Barbara Mamabolo John Ralston Nick Roth,Bobby Roth
3951,Comedy,,79940,restaurant wolf shopping mall filmmaker billion dollars,en,1.75311,2012,Tim and Eric's Billion Dollar Movie,Eric Wareheim Tim Heidecker John C. Reilly Zach Galifianakis Will Ferrell,Tim Heidecker
3952,Comedy Drama,http://www.sommersturm.de/main.html,342,holiday gay male nudity competition sexual identity,de,3.120747,2004,Summer Storm,Robert Stadlober Kostja Ullmann Alicja Bachleda-Curu\u015b J\u00fcrgen Tonkel Tristano Casanova,Marco Kreuzpaintner
3953,War Drama History,,281230,woman director,en,0.384496,2014,Fort McCoy,Eric Stoltz Kate Connor Lyndsy Fonseca Andy Hirsch Camryn Manheim,Michael Worth
3954,Horror Thriller,,38033,killing friendship teenager maniac mysterious letter,en,2.504156,2010,Chain Letter,Nikki Reed Keith David Brad Dourif Betsy Russell Cherilyn Wilson,Deon Taylor
3955,Drama Comedy,,100975,new york nurse sex infidelity nudity,en,0.431332,1999,Just Looking,Gretchen Mol Patti LuPone Peter Onorati Ryan Merriman Richard V. Licata,Jason Alexander
3956,Science Fiction,,38541,basement violence septic tank town in panic welding,en,11.882563,2011,The Divide,Lauren German Michael Biehn Milo Ventimiglia Courtney B. Vance Ashton Holmes,Xavier Gens
3957,Drama Horror Romance,http://www.theeclipsefilm.com/,39563,,en,9.342465,2009,The Eclipse,Ciar\u00e1n Hinds Aidan Quinn Iben Hjejle Jim Norton Valerie Spelman,Conor McPherson
3958,Thriller Horror,,234212,detective haunted house investigation anti-christ possession,en,12.564554,2015,Demonic,Maria Bello Frank Grillo Cody Horn Dustin Milligan Megan Park,Will Canon
3959,Comedy,,27404,independent film,en,0.68822,2005,My Big Fat Independent Movie,Paget Brewster Neil Barton Eric Hoffman Darren Keefe Ashley Head,Philip Zlotorynski
3960,Comedy Family,https://www.facebook.com/pages/The-Deported/461198970651596,170480,,en,0.194848,2010,The Deported,Nicholas Turturro Talia Shire Paul Rodr\u00edguez Gary Valentine Nick Turturro III,Lance Kawas
3961,Drama,http://www.tannerhallthefilm.com/,71866,boarding school woman director,en,2.015525,2009,Tanner Hall,Rooney Mara Georgia King Brie Larson Amy Ferguson Antonia Steinberg,Francesca Gregorini
3962,Action Drama Thriller,,192210,drug dealer police killer illegal drugs dealer,en,2.680629,2013,Open Road,Camilla Belle Andy Garc\u00eda Colin Egglesfield Juliette Lewis Christiane Torloni,M\u00e1rcio Garcia
3963,Comedy,,180296,,en,12.036888,2014,They Came Together,Paul Rudd Amy Poehler Bill Hader Ellie Kemper Cobie Smulders,David Wain
3964,Comedy,,157058,parody horror comedy,en,1.737032,2013,30 Nights of Paranormal Activity With the Devil Inside the Girl With the Dragon Tattoo,Kathryn Fiore Flip Schultz Olivia Alexander Arturo del Puerto Danny Woodburn,Craig Moss
3965,Drama Action,,70006,male nudity cage kiss fistfight sport,en,9.249229,2011,Never Back Down 2: The Beatdown,Stacey Asaro Gralen Bryant Banks Rus Blackwell Beau Brasso Eddie Bravo,Michael Jai White
3966,Action Crime Drama Thriller,,26039,alcatraz revenge organized crime,en,5.164423,1967,Point Blank,Lee Marvin Angie Dickinson Keenan Wynn Carroll O'Connor Lloyd Bochner,John Boorman
3967,Drama Comedy,,79587,,en,0.008263,2009,Four Single Fathers,Alessandro Gassman Francesco Quinn Joe Urla Lenny Venito Jennifer Esposito,Paolo Monico
3968,Thriller,,176077,composer obsession,en,1.998826,2013,Enter the Dangerous Mind,Jake Hoffman Nikki Reed Thomas Dekker Scott Bakula Jason Priestley,Youssef Delara
3969,Mystery Thriller,,260947,obsession oregon independent film,en,1.968679,2014,Something Wicked,Shantel VanSanten John Robinson James Patrick Stuart Brittany Murphy Robert Blanche,Darin Scott
3970,Thriller,,342502,russian getaway lapd awol special ops,en,1.141463,2015,AWOL-72,Luke Goss RZA Bokeem Woodbine Louis Mandylor Brooke Newton,Christian Sesma
3971,,,191229,,en,0.214704,1988,Iguana,Everett McGill Fabio Testi Michael Madsen Jack Taylor,Monte Hellman
3972,Action Crime Thriller,,43213,,en,1.034844,2009,Chicago Overcoat,Frank Vincent Kathrine Narducci Mike Starr Stacy Keach Armand Assante,Brian Caunter
3973,Comedy Drama Romance,,44594,based on novel letter paternity castration doctor,en,1.975941,2010,Barry Munday,Patrick Wilson Malcolm McDowell Judy Greer Chlo\u00eb Sevigny Missi Pyle,Chris D'Arienzo
3974,Drama,,666,brazilian brazil rio de janeiro letter wilderness,pt,5.928937,1998,Central Station,Fernanda Montenegro Mar\u00edlia P\u00eara Vin\u00edcius de Oliveira Othon Bastos Ot\u00e1vio Augusto,Walter Salles
3975,Comedy Drama,,248,dude prohibition deception new york city apple,en,3.370225,1961,Pocketful of Miracles,Glenn Ford Bette Davis Hope Lange Arthur O'Connell Peter Falk,Frank Capra
3976,Crime Action,https://www.facebook.com/closerangemovie/,325173,,en,5.485217,2015,Close Range,Scott Adkins Nick Chinlund Caitlin Keats Jake La Botz Tony Perez,Isaac Florentine
3977,Comedy Drama Romance,,55831,independent film,en,0.18887,2005,Boynton Beach Club,Brenda Vaccaro Dyan Cannon Joseph Bologna,
3978,Thriller Mystery Drama Horror,,351043,,en,3.077885,2015,Amnesiac,Kate Bosworth Wes Bentley Shashawnee Hall Richard Riehle Patrick Bauchau,Michael Polish
3979,Documentary,http://www.magpictures.com/freakonomics/,43942,female nudity corruption cheating experiment limousine,en,1.781462,2010,Freakonomics,Zoe Sloane Jade Viggiano Amancaya Aguilar Kahiry Bess Alisha Naragsheth,Heidi Ewing
3980,Horror Thriller Mystery,,10226,mass murder insanity gore survival farmhouse,fr,4.952983,2003,High Tension,C\u00e9cile de France Ma\u00efwenn Philippe Nahon Franck Khalfoun Andrei Finti,Alexandre Aja
3981,Romance Comedy Drama,,66942,love superhero independent film comedy,en,1.35088,2011,Griff the Invisible,Ryan Kwanten Maeve Dermody Marshall Napier Heather Mitchell Patrick Brammall,Leon Ford
3982,Thriller Action Horror,,356483,climate change polar bear,en,0.687656,2015,Unnatural,James Remar Sherilyn Fenn Ron Carlson Graham Greene Allegra Carpenter,Hank Braxtan
3983,Drama,,10476,rap music hip-hop baby midlife crisis drug dealer,en,6.39503,2005,Hustle & Flow,Terrence Howard Anthony Anderson Taryn Manning Taraji P. Henson Elise Neal,Craig Brewer
3984,Comedy Romance,,239,chicago witness musician mafia cross dressing,en,39.30982,1959,Some Like It Hot,Marilyn Monroe Tony Curtis Jack Lemmon George Raft Pat O\u2019Brien,Billy Wilder
3985,Horror Thriller,,10281,lake mask telekinesis psychopath slasher,en,9.070842,1988,Friday the 13th Part VII: The New Blood,Kane Hodder Lar Park Lincoln Susan Jennifer Sullivan Kevin Spirtas Terry Kiser,John Carl Buechler
3986,Adventure Family Fantasy,http://thewizardofoz.warnerbros.com/,630,witch adolescence based on novel secret identity clock,en,67.417542,1939,The Wizard of Oz,Judy Garland Frank Morgan Ray Bolger Bert Lahr Jack Haley,Victor Fleming
3987,Comedy Science Fiction,,3034,experiment castle assistant bride frankenstein,en,36.444894,1974,Young Frankenstein,Gene Wilder Peter Boyle Marty Feldman Madeline Kahn Cloris Leachman,Mel Brooks
3988,Horror Action Science Fiction,,13025,zombie found footage,en,15.351412,2007,Diary of the Dead,Michelle Morgan Joshua Close Shawn Roberts Amy Lalonde Joe Dinicol,George A. Romero
3989,Comedy Drama Romance,,21461,historical figure comedy bollywood india,en,2.436019,2006,Lage Raho Munna Bhai,Sanjay Dutt Arshad Warsi Dilip Prabhavalkar Vidya Balan Dia Mirza,Rajkumar Hirani
3990,Drama,,55306,father son relationship florida stolen money dysfunctional family independent film,en,0.93392,1997,Ulee's Gold,Peter Fonda Patricia Richardson Christine Dunford Tom Wood Jessica Biel,Victor Nunez
3991,Adventure Family,,17264,poker horse barn training sport,en,11.35972,1979,The Black Stallion,Kelly Reno Mickey Rooney Teri Garr Clarence Muse Hoyt Axton,Carroll Ballard
3992,,,346081,,en,0.296981,2015,Sardaarji,,Rohit Jugraj
3993,Action Adventure Animation Comedy Science Fiction,,16016,,en,1.776624,2008,Journey to Saturn,Casper Christensen Frank Hvam Ali Kazim Iben Hjejle Peter Belli,Kresten Vestbjerg Andersen
3994,Adventure Comedy Romance,,15875,birthday half-brother priest mission clinic polynesia,en,1.897263,1963,Donovan's Reef,John Wayne Elizabeth Allen Lee Marvin Cesar Romero Mike Mazurki,John Ford
3995,Comedy Drama,,5900,calamity,nl,0.144031,1996,The Dress,Henri Garcin Ingeborg Elzevier Khaldoun Elmecky Margo Dames Frans Vorstman,Alex van Warmerdam
3996,Drama Romance War,,43306,pilot airplane ghost,en,0.531444,1944,A Guy Named Joe,Spencer Tracy Irene Dunne Van Johnson Ward Bond James Gleason,Victor Fleming
3997,Western Comedy,,11072,gun saloon governor marching band comedy,en,22.793929,1974,Blazing Saddles,Cleavon Little Gene Wilder Harvey Korman Slim Pickens Madeline Kahn,Mel Brooks
3998,Horror Thriller,,9730,lake resurrection morgue serial killer jason vorhees,en,14.013414,1984,Friday the 13th: The Final Chapter,Kimberly Beck Erich Anderson Corey Feldman Barbara Howard Crispin Glover,Joseph Zito
3999,Drama,,209274,nun mine jew jewish poland,pl,13.265432,2013,Ida,Agata Trzebuchowska Agata Kulesza Joanna Kulig Dawid Ogrodnik Adam Szyszkowski,Pawe\u0142 Pawlikowski
4000,Drama Romance,,26371,gay coming out british gay relationship coming of age,en,11.552247,1987,Maurice,James Wilby Hugh Grant Rupert Graves Denholm Elliott Simon Callow,James Ivory
4001,Comedy,http://www.beerleaguethemovie.com/,14137,baseball sport,en,1.73892,2006,Beer League,Artie Lange Ralph Macchio Anthony DeSando Jimmy Palumbo Joe Lo Truglio,Frank Sebastiano
4002,Documentary,http://www.sonyclassics.com/ridinggiants/,291,ocean california sea beach surfer,en,0.895946,2004,Riding Giants,Jeff Clark Darrick Doerner Laird Hamilton Dave Kalama David H. Kalama Jr.,Stacy Peralta
4003,Science Fiction Thriller,http://www.cronocrimenes.com/,14139,scissors radio nudity time woods,es,19.02965,2007,Timecrimes,Karra Elejalde Candela Fern\u00e1ndez B\u00e1rbara Goenaga Nacho Vigalondo Juan Inciarte,Nacho Vigalondo
4004,Action Adventure Comedy Drama Foreign,,33106,,zh,0.406645,2009,Silver Medalist,Huang Bo Kong Jiu Shaohua Ma Xu Zheng Yung Cheung,Ning Hao
4005,Horror Thriller,,8875,fanatic forest west virginia suspense,en,3.687574,2007,Timber Falls,Josh Randall Nick Searcy Beth Broderick Sascha Rosemann T.W. Leshner,Tony Giglio
4006,Comedy Music Romance,,872,fan morning musical talkie partner,en,36.556954,1952,Singin' in the Rain,Gene Kelly Donald O'Connor Debbie Reynolds Jean Hagen Millard Mitchell,Stanley Donen
4007,Documentary,http://www.fatsickandnearlydead.com,72914,diet fasting vegetable juice australian man,en,0.545825,2010,"Fat, Sick & Nearly Dead",Joe Cross Phil Riverstone Amy Badberg Merv Cross Virginia Cross,Joe Cross
4008,Comedy Horror,https://www.facebook.com/AHauntedHouse?fref=ts,139038,horror spoof found footage duringcreditsstinger,en,18.661541,2013,A Haunted House,Marlon Wayans Essence Atkins Nick Swardson Cedric the Entertainer David Koechner,Michael Tiddes
4009,Documentary,http://2016themovie.com/,126509,,en,0.973582,2012,2016: Obama's America,,John Sullivan
4010,Comedy Drama,,9591,pop star musical record label music music band,en,14.885388,1996,That Thing You Do!,Tom Everett Scott Johnathon Schaech Tom Hanks Steve Zahn Ethan Embry,Tom Hanks
4011,Horror Mystery Science Fiction,,10676,commercial factory gas station curfew mask,en,12.030456,1982,Halloween III: Season of the Witch,Tom Atkins Stacey Nelkin Dan O'Herlihy Michael Currie Ralph Strait,Tommy Lee Wallace
4012,Action Science Fiction,,1687,spacecraft pacifism human being cage dystopia,en,18.30961,1971,Escape from the Planet of the Apes,Roddy McDowall Kim Hunter Bradford Dillman Natalie Trundy Eric Braeden,Don Taylor
4013,Action Drama Western,,24748,alcoholism ranchers rancher rebellious youth,en,6.82919,1963,Hud,Paul Newman Melvyn Douglas Patricia Neal Brandon De Wilde Whit Bissell,Martin Ritt
4014,Comedy Documentary,http://kevinhartnation.com/portfolio/let-me-explain-2012/,181330,"stand-up comedy manhattan, new york city madison square garden duringcreditsstinger",en,9.799357,2013,Kevin Hart: Let Me Explain,Kevin Hart David Terrell David Jason Perez Justine Herron Harry Ratchford,Leslie Small
4015,Drama Romance,,468,individual gay father son relationship rome robbery,en,10.363642,1991,My Own Private Idaho,River Phoenix Keanu Reeves James Russo William Richert Rodney Harvey,Gus Van Sant
4016,Comedy Drama Romance,http://www2.foxsearchlight.com/gardenstate/,401,new jersey paraplegic loss of mother expensive restaurant pop culture,en,30.583959,2004,Garden State,Zach Braff Natalie Portman Ian Holm Peter Sarsgaard Jean Smart,Zach Braff
4017,Drama Romance,,76,dialogue sunrise talking soulmates walking,en,23.672571,1995,Before Sunrise,Ethan Hawke Julie Delpy Andrea Eckert Hanno P\u00f6schl Karl Bruckschwaiger,Richard Linklater
4018,Horror Mystery Thriller,,50538,suspense psychopathic killer hopital,fr,0.205034,2003,Evil Words,Patrick Huard Michel C\u00f4t\u00e9 Catherine Florent Albert Millaire Jean L'Italien,\u00c9ric Tessier
4019,Comedy Drama Romance,,25636,drug abuse magic mushroom dark comedy independent film drug,en,5.581743,1999,Jesus' Son,Billy Crudup Denis Leary Jack Black Dennis Hopper Holly Hunter,Alison Maclean
4020,Comedy Romance,,19316,lesbian relationship lgbt woman director,en,2.487255,2004,Saving Face,Michelle Krusiec Joan Chen Lynn Chen Ato Essandoh Jessica Hecht,Alice Wu
4021,Drama,,21074,arranged marriage independent film bangladesh september 11 2001 woman director,en,0.262135,2007,Brick Lane,Tannishtha Chatterjee Satish Kaushik Christopher Simpson Naeema Begum Lana Rahman,Sarah Gavron
